code;pairCode;name;price;purchasePrice;currency;includingVat;percentVat;shortDescription;description;image;defaultCategory;supplier;manufacturer;visibility;unit;itemType;seoTitle;metaDescription;externalId
QG-0011;;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/006B;13961;9628;CZK;1;21;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/006B. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/006B. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15163_700_700/aaz.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/006B;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/006B. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXCZARNYWZORGRAF006B
QG-0012;;Dveře skleněné posuvné Design-Lux czarny grafika KOL/131;13961;9628;CZK;1;21;Dveře skleněné posuvné Design-Lux czarny grafika KOL/131. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux czarny grafika KOL/131. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15218_700_700/drzwi-szklane-design-lux--131.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux czarny grafika KOL/131;Dveře skleněné posuvné Design-Lux czarny grafika KOL/131. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXCZARNYGRAFIKAKOL131
QG-0013;;Dveře skleněné posuvné Design-Lux czarny grafika KOL/132;13961;9628;CZK;1;21;Dveře skleněné posuvné Design-Lux czarny grafika KOL/132. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux czarny grafika KOL/132. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15219_700_700/drzwi-szklane-design-lux-kol132.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux czarny grafika KOL/132;Dveře skleněné posuvné Design-Lux czarny grafika KOL/132. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXCZARNYGRAFIKAKOL132
QG-0014;;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/009b;13961;9628;CZK;1;21;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/009b. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/009b. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15165_700_700/drzwi-szklane-z-wzorem-Q-009C.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/009b;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/009b. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXCZARNYWZORGRAF009B
QG-0015;;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/011b;13961;9628;CZK;1;21;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/011b. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/011b. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15166_700_700/drzwi-szklane-z-wzorem-graficznym-011B.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/011b;Dveře skleněné posuvné Design-Lux czarny vzor GRAF/011b. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXCZARNYWZORGRAF011B
QG-0016;;Dveře skleněné posuvné design-lux grafika KOL/092;13818;9529;CZK;1;21;Dveře skleněné posuvné design-lux grafika KOL/092. Cena zahrnuje systém a kování;Dveře skleněné posuvné design-lux grafika KOL/092. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15172_700_700/092-drzwi-z-nadrukiem-qubaglass-przesuwne.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné design-lux grafika KOL/092;Dveře skleněné posuvné design-lux grafika KOL/092. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXGRAFIKAKOL092
QG-0017;;Dveře skleněné posuvné design-lux grafika KOL/091;13818;9529;CZK;1;21;Dveře skleněné posuvné design-lux grafika KOL/091. Cena zahrnuje systém a kování;Dveře skleněné posuvné design-lux grafika KOL/091. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15171_700_700/091-drzwi-szklane-z-nadrukiem-przesuwne.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné design-lux grafika KOL/091;Dveře skleněné posuvné design-lux grafika KOL/091. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXGRAFIKAKOL091
QG-0018;;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/010c;13456;9280;CZK;1;21;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/010c. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/010c. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15220_700_700/010C-drzwi.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/010c;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/010c. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXBIALYWZORGRAF010C
QG-0019;;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/011c;13456;9280;CZK;1;21;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/011c. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/011c. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15221_700_700/011C-drzwi.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/011c;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/011c. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXBIALYWZORGRAF011C
QG-0020;;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/013c;13456;9280;CZK;1;21;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/013c. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/013c. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15222_700_700/013C-drzwi.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/013c;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/013c. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXBIALYWZORGRAF013C
QG-0021;;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/026C;13456;9280;CZK;1;21;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/026C. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/026C. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15223_700_700/026C-drzwi.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/026C;Dveře skleněné posuvné Design-Lux bílý vzor GRAF/026C. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXBIALYWZORGRAF026C
QG-0022;;Dveře skleněné posuvné Design-Lux bílý grafika KOL/055;13456;9280;CZK;1;21;Dveře skleněné posuvné Design-Lux bílý grafika KOL/055. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux bílý grafika KOL/055. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15224_700_700/055.png;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux bílý grafika KOL/055;Dveře skleněné posuvné Design-Lux bílý grafika KOL/055. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXBIALYGRAFIKAKOL055
QG-0023;;Dveře skleněné posuvné Design-Lux vzor GRAF/010c;12405;8555;CZK;1;21;Dveře skleněné posuvné Design-Lux vzor GRAF/010c. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux vzor GRAF/010c. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15225_700_700/010C-drzwi-szklane-przesuwne-system-w-satynie.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux vzor GRAF/010c;Dveře skleněné posuvné Design-Lux vzor GRAF/010c. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXWZORGRAF010C
QG-0024;;Dveře skleněné posuvné Design-Lux vzor GRAF/011c;12405;8555;CZK;1;21;Dveře skleněné posuvné Design-Lux vzor GRAF/011c. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux vzor GRAF/011c. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15226_700_700/011C-drzwi-szklane-design-srebrna-maskownica.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux vzor GRAF/011c;Dveře skleněné posuvné Design-Lux vzor GRAF/011c. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXWZORGRAF011C
QG-0025;;Dveře skleněné posuvné Design-Lux vzor GRAF/013c;12405;8555;CZK;1;21;Dveře skleněné posuvné Design-Lux vzor GRAF/013c. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux vzor GRAF/013c. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15227_700_700/GRAF013c-DRZWI-SZKLANE-design-lux.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux vzor GRAF/013c;Dveře skleněné posuvné Design-Lux vzor GRAF/013c. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXWZORGRAF013C
QG-0026;;Dveře skleněné posuvné Design-Lux vzor GRAF/026c;12405;8555;CZK;1;21;Dveře skleněné posuvné Design-Lux vzor GRAF/026c. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux vzor GRAF/026c. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15228_700_700/026C-drzwi-szklane-design-drzwi.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux vzor GRAF/026c;Dveře skleněné posuvné Design-Lux vzor GRAF/026c. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXWZORGRAF026C
QG-0027;;Dveře skleněné posuvné Design-Lux vzor GRAF/006b;12405;8555;CZK;1;21;Dveře skleněné posuvné Design-Lux vzor GRAF/006b. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux vzor GRAF/006b. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15229_700_700/006B-drzwi-szklane-qubaglass.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux vzor GRAF/006b;Dveře skleněné posuvné Design-Lux vzor GRAF/006b. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXWZORGRAF006B
QG-0028;;Dveře skleněné posuvné Design-Lux vzor GRAF/009b;12405;8555;CZK;1;21;Dveře skleněné posuvné Design-Lux vzor GRAF/009b. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux vzor GRAF/009b. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15230_700_700/wzor-graficzny-009B.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux vzor GRAF/009b;Dveře skleněné posuvné Design-Lux vzor GRAF/009b. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXWZORGRAF009B
QG-0029;;Dveře skleněné posuvné Design-Lux vzor GRAF/011b;12405;8555;CZK;1;21;Dveře skleněné posuvné Design-Lux vzor GRAF/011b. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux vzor GRAF/011b. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15231_700_700/011B-drzwi-szklane-qubaglass.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux vzor GRAF/011b;Dveře skleněné posuvné Design-Lux vzor GRAF/011b. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXWZORGRAF011B
QG-0030;;Dveře skleněné posuvné design-lux grafika KOL/083;12405;8555;CZK;1;21;Dveře skleněné posuvné design-lux grafika KOL/083. Cena zahrnuje systém a kování;Dveře skleněné posuvné design-lux grafika KOL/083. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15169_700_700/drzwi-przesuwne-z-nadrukiem-083.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné design-lux grafika KOL/083;Dveře skleněné posuvné design-lux grafika KOL/083. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXGRAFIKAKOL083
QG-0031;;Dveře skleněné posuvné design-lux grafika KOL/104;12405;8555;CZK;1;21;Dveře skleněné posuvné design-lux grafika KOL/104. Cena zahrnuje systém a kování;Dveře skleněné posuvné design-lux grafika KOL/104. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15175_700_700/drzwi-szklane-z-nadrukiem-KOL104-drzwi-przesuwne.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné design-lux grafika KOL/104;Dveře skleněné posuvné design-lux grafika KOL/104. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXGRAFIKAKOL104
QG-0032;;Dveře skleněné posuvné design-lux KOL/088;12405;8555;CZK;1;21;Dveře skleněné posuvné design-lux KOL/088. Cena zahrnuje systém a kování;Dveře skleněné posuvné design-lux KOL/088. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15170_700_700/088-drzwi-szklane-z-nadrukiem-przesuwne.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné design-lux KOL/088;Dveře skleněné posuvné design-lux KOL/088. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXKOL088
QG-0033;;Dveře skleněné posuvné Design-Lux vzor Q-107;11269;7772;CZK;1;21;Dveře skleněné posuvné Design-Lux vzor Q-107. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux vzor Q-107. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15232_700_700/drzwi-szklane-z-wzorem-matowym.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux vzor Q-107;Dveře skleněné posuvné Design-Lux vzor Q-107. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXWZORQ107
QG-0034;;Dveře skleněné posuvné Design-Lux bílý grafika KOL/055;12405;8555;CZK;1;21;Dveře skleněné posuvné Design-Lux bílý grafika KOL/055. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux bílý grafika KOL/055. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15237_700_700/KOL055-drzwi-szklane-z-w-grafika.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux bílý grafika KOL/055;Dveře skleněné posuvné Design-Lux bílý grafika KOL/055. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXBIALYGRAFIKAKOL055
QG-0035;;Dveře skleněné posuvné Design-Lux czarny podwójne laminované bílé;31538;21750;CZK;1;21;Dveře skleněné posuvné Design-Lux czarny podwójne laminované bílé. Cena zahrnuje systém a kování;Dveře skleněné posuvné Design-Lux czarny podwójne laminované bílé. Kategorie: Posuvné dveře Design-Lux. Orientační cena — finální nabídka podle rozměrů a provedení.;https://qubaglass.pl/environment/cache/images/productGfx_15273_700_700/drzwi-laminowane-biale-podwojne-czarny-system.jpg;Skleněné dveře|Posuvné dveře Design-Lux;Quba Glass;Quba Glass;visible;ks;product;Dveře skleněné posuvné Design-Lux czarny podwójne laminované bílé;Dveře skleněné posuvné Design-Lux czarny podwójne laminované bílé. Cena zahrnuje systém a kování;DRZWISZKLANEPRZESUWNEPRZESUWANEDESIGNLUXCZARNYPODWOJNELAMINOWANE
